Rank,date,primaryTitle,budget,domestic_gross,world_gross
"5,947","Oct 9, 1998",Slam,"$1,000,000","$1,009,819","$1,087,521"
"6,429","Oct 9, 1998",The Mighty,"$100,000","$2,652,246","$6,121,582"
"4,027","Oct 9, 2003",Calendar Girls,"$10,000,000","$31,011,616","$93,074,616"
"3,901","Oct 9, 2009",St. Trinian’s,"$11,400,000","$15,000","$29,830,239"
"4,183","Oct 9, 2009",Free Style,"$10,000,000","$141,108","$721,108"
"4,474","Oct 9, 2009",An Education,"$7,500,000","$12,574,914","$29,652,736"
"4,641","Oct 9, 2009",The Damned United,"$6,400,000","$449,865","$4,199,874"
"5,786","Oct 9, 2009",Trucker,"$1,500,000","$52,429","$52,429"
"6,012","Oct 9, 2012",Truth or Die,"$1,000,000",$0,$0
"2,230","Oct 9, 2015",Steve Jobs,"$30,000,000","$17,766,658","$35,579,007"
"6,340","Oct 9, 2015",Western Religion,"$250,000",$0,$0
"1,419","Oct 9, 2019",Zombieland: Double Tap,"$48,000,000","$73,118,130","$125,213,018"
"4,766","Oct 9, 2020",Druk,"$5,700,000","$44,205","$21,698,895"
"3,345","Oct 9, 2024",The Apprentice,"$16,000,000","$3,801,000","$7,356,146"
"5,548","Oct 9, 2024",Terrifier 3,"$2,000,000","$46,211,039","$53,973,532"
"6,071","Oct 8, 1993",Ruby in Paradise,"$800,000","$1,001,437","$1,001,437"
"5,728","Sep 1, 1938",You Can't Take It With You,"$1,644,000","$4,000,000","$4,000,000"
"2,020","Sep 1, 1999",Chill Factor,"$34,000,000","$11,263,966","$11,263,966"
"4,551","Sep 1, 1999",Outside Providence,"$7,000,000","$7,309,628","$7,824,358"
"3,486","Sep 1, 2000",Highlander: Endgame,"$15,000,000","$12,801,190","$12,801,190"
"4,031","Sep 1, 2000",Snatch,"$10,000,000","$30,093,107","$83,593,107"
"5,346","Sep 1, 2000",Whipped,"$3,000,000","$4,142,507","$4,142,507"
"3,979","Sep 1, 2001",Le Fabuleux destin d\'Amélie Poulain,"$10,350,000","$33,381,742","$174,375,841"
"2,704","Sep 1, 2004",Vanity Fair,"$23,000,000","$16,123,851","$19,123,851"
"3,798","Sep 1, 2006",Crank,"$12,000,000","$27,838,408","$43,924,923"
"4,770","Sep 1, 2006",Crossover,"$5,600,000","$7,009,668","$7,009,668"
"5,439","Sep 1, 2006",Lage Raho Munna Bhai,"$2,700,000","$2,217,561","$31,517,561"
"5,509","Sep 1, 2006",Idiocracy,"$2,400,000","$444,093","$500,296"
"6,494","Sep 1, 2006",Mutual Appreciation,"$30,000","$103,509","$103,509"
"2,888","Sep 1, 2010",The American,"$20,000,000","$35,606,376","$67,950,723"
"6,260","Sep 1, 2010",My Dog Tulip,"$350,000","$246,574","$310,891"
"5,255","Sep 1, 2015",Lords of London,"$3,440,000",$0,$0
"6,474","Sep 1, 2015","Run, Hide, Die","$50,000",$0,$0
758,"Sep 1, 2017",Renegades,"$77,500,000.00",$0.00,"$1,521,672.00"
"4,493","Sep 1, 2017",Little Evil,"$7,500,000",$0,$0
"5,499","Sep 1, 2017",Sky Sharks,"$2,500,000",$0,$0
"5,053","Sep 1, 2020",Blood Quantum,"$4,500,000",$0,"$10,926"
226,"Sep 1, 2021",Shang-Chi and the Legend of the Ten Rings,"$150,000,000.00","$224,543,292.00","$432,224,634.00"
"3,742","Sep 10, 1993",True Romance,"$12,500,000","$12,281,000","$12,643,293"
"4,366","Sep 10, 1994",Pulp Fiction,"$8,000,000","$107,928,762","$212,891,598"
"2,055","Sep 10, 1999",Stigmata,"$32,000,000","$50,041,732","$89,441,732"
"3,812","Sep 10, 1999",Stir of Echoes,"$12,000,000","$21,133,087","$23,059,379"
"5,121","Sep 10, 1999",Love Stinks,"$4,000,000","$2,793,776","$2,793,776"
