Rank,date,primaryTitle_x,budget,domestic_gross,world_gross,title_x,year,name_id,tconst,titleType,primaryTitle_y,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,nconst,writers,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,title_y
930,1999-04-30,Entrapment,"$66,000,000","$87,707,396","$211,700,000",entrapment,1999,entrapment1999,tt0137494,movie,entrapment,Entrapment,0,1999,\N,113,"Action,Crime,Romance",6.3,125483,nm0000750,"nm0060103,nm0381110,nm0115310",Jon Amiel,1948,\N,"director,producer,writer","tt0112722,tt0298814,tt0137494,tt0100822",entrapment
"3,525",1999-04-30,Idle Hands,"$15,000,000","$4,023,741","$4,024,147",idle hands,1999,idle hands1999,tt0138510,movie,idle hands,Idle Hands,0,1999,\N,92,"Comedy,Fantasy,Horror",6.2,47795,nm0281869,"nm0400957,nm0586922",Rodman Flender,\N,\N,"director,producer,actor","tt0386676,tt6398232,tt1864288,tt0103157",idle hands
"2,068",2004-04-30,Laws of Attraction,"$32,000,000","$17,848,322","$29,939,591",laws of attraction,2004,laws of attraction2004,tt0323033,movie,laws of attraction,Laws of Attraction,0,2004,\N,90,"Comedy,Romance",5.9,24830,nm0398185,"nm0112459,nm0363326",Peter Howitt,1957,\N,"actor,director,writer","tt0120148,tt0417586,tt0274166,tt0218817",laws of attraction
"2,968",2004-04-30,Envy,"$20,000,000","$13,548,322","$14,566,246",envy,2004,envy2004,tt0326856,movie,envy,Envy,0,2004,\N,99,Comedy,4.8,32584,nm0001469,nm0011376,Barry Levinson,1942,\N,"producer,writer,director","tt0095953,tt0101516,tt0120885,tt1933667",envy
"3,123",2004-04-30,Mean Girls,"$18,000,000","$86,047,227","$130,462,048",mean girls,2004,mean girls2004,tt0377092,movie,mean girls,Mean Girls,0,2004,\N,97,Comedy,7.1,448485,nm0914132,"nm1577281,nm0275486",Mark Waters,1964,\N,"director,producer,actor","tt1022603,tt0821640,tt1686821,tt0119324",mean girls
"3,272",2004-04-30,Bobby Jones: Stroke of Genius,"$17,000,000","$2,694,071","$2,694,071",bobby jones stroke of genius,2004,bobby jones stroke of genius2004,tt0375104,movie,bobby jones stroke of genius,Bobby Jones: Stroke of Genius,0,2004,\N,120,"Biography,Drama,Romance",6.6,4156,nm0380705,"nm0380705,nm0206175,nm0699386,nm1597653",Rowdy Herrington,1951,\N,"writer,director,miscellaneous","tt0098206,tt0108238,tt0087995,tt0307507",bobby jones stroke of genius
119,2008-04-30,Iron Man,"$186,000,000.00","$318,604,126.00","$584,877,827.00",iron man,2008,iron man2008,tt0371746,movie,iron man,Iron Man,0,2008,\N,126,"Action,Adventure,Sci-Fi",7.9,1147456,nm0269463,"nm1318843,nm1319757,nm1436466,nm0391344,nm0498278,nm1411347,nm1293367,nm0456158",Jon Favreau,1966,\N,"producer,actor,writer","tt2883512,tt0371746,tt0117802,tt8111088",iron man
"1,898",2010-04-30,A Nightmare on Elm Street,"$35,000,000","$63,075,011","$117,729,618",a nightmare on elm street,2010,a nightmare on elm street2010,tt1179056,movie,a nightmare on elm street,A Nightmare on Elm Street,0,2010,\N,95,"Crime,Drama,Horror",5.2,109414,nm1207904,"nm0834338,nm2104063,nm0000127",Samuel Bayer,1962,\N,"director,cinematographer,writer","tt3653606,tt1179056,tt0426883,tt2697560",a nightmare on elm street
"1,967",2010-04-30,Furry Vengeance,"$35,000,000","$17,630,465","$39,340,177",furry vengeance,2010,furry vengeance2010,tt0492389,movie,furry vengeance,Furry Vengeance,0,2010,\N,92,"Comedy,Family",3.9,18508,nm0474955,"nm0138733,nm1404095",Roger Kumble,1966,\N,"director,producer,writer","tt0139134,tt0253867,tt0433400,tt10362466",furry vengeance
"3,982",2010-04-30,Housefull,"$10,100,000","$1,183,658","$18,726,300",housefull,2010,housefull2010,tt1573072,movie,housefull,Housefull,0,2010,\N,144,"Comedy,Drama,Romance",5.6,16331,nm1349318,"nm2101751,nm1349318,nm0618898,nm0759785,nm1258512,nm1179457",Sajid Khan,1970,\N,"writer,director,actor","tt2344678,tt1980986,tt1573072,tt3036740",housefull
