date,Movie,budget,domestic_revenue,world_revenue,year,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes
2011-04-01,Hop,63000000.0,108085305.0,188494082.0,2011,Hop,0,2011,95,Adventure,5.4,37952
2011-04-01,Hop,63000000.0,108085305.0,188494082.0,2011,Hop,0,2011,95,Animation,5.4,37952
2011-04-01,Hop,63000000.0,108085305.0,188494082.0,2011,Hop,0,2011,95,Comedy,5.4,37952
2011-04-01,Source Code,32000000.0,54712227.0,140428499.0,2011,Source Code,0,2011,93,Action,7.5,559321
2011-04-01,Source Code,32000000.0,54712227.0,140428499.0,2011,Source Code,0,2011,93,Drama,7.5,559321
2011-04-01,Source Code,32000000.0,54712227.0,140428499.0,2011,Source Code,0,2011,93,Mystery,7.5,559321
2011-04-01,The Last Godfather,13400000.0,164247.0,164247.0,2011,The Last Godfather,0,2010,100,Comedy,3.5,1334
2011-04-01,The Last Godfather,13400000.0,164247.0,164247.0,2011,The Last Godfather,0,2010,100,Crime,3.5,1334
2011-04-01,The Last Godfather,13400000.0,164247.0,164247.0,2011,The Last Godfather,0,2010,100,Romance,3.5,1334
2011-04-01,Haevnen,5500000.0,1008098.0,15867314.0,2011,,0,2015,\N,Action,7.2,7
2011-04-01,Haevnen,5500000.0,1008098.0,15867314.0,2011,,0,2015,\N,Drama,7.2,7
2011-04-01,Haevnen,5500000.0,1008098.0,15867314.0,2011,,0,2015,\N,Mystery,7.2,7
2011-04-01,Trust,4000000.0,120016.0,120016.0,2011,Ruggine,0,2011,109,Drama,6.0,488
2011-04-01,Super,2500000.0,327716.0,593933.0,2011,,0,2015,\N,Action,7.2,7
2011-04-01,Super,2500000.0,327716.0,593933.0,2011,,0,2015,\N,Drama,7.2,7
2011-04-01,Super,2500000.0,327716.0,593933.0,2011,,0,2015,\N,Mystery,7.2,7
2011-04-01,Insidious,1500000.0,54009150.0,99870886.0,2011,Insidious,0,2010,103,Horror,6.8,346245
2011-04-01,Insidious,1500000.0,54009150.0,99870886.0,2011,Insidious,0,2010,103,Mystery,6.8,346245
2011-04-01,Insidious,1500000.0,54009150.0,99870886.0,2011,Insidious,0,2010,103,Thriller,6.8,346245
2011-04-01,Rubber,500000.0,100370.0,680914.0,2011,,0,2015,\N,Action,7.2,7
2011-04-01,Rubber,500000.0,100370.0,680914.0,2011,,0,2015,\N,Drama,7.2,7
2011-04-01,Rubber,500000.0,100370.0,680914.0,2011,,0,2015,\N,Mystery,7.2,7
2015-04-01,Furious 7,190000000.0,353007020.0,1511986364.0,2015,Fast & Furious 7,0,2015,137,Action,7.1,420506
2015-04-01,Furious 7,190000000.0,353007020.0,1511986364.0,2015,Fast & Furious 7,0,2015,137,Crime,7.1,420506
2015-04-01,Furious 7,190000000.0,353007020.0,1511986364.0,2015,Fast & Furious 7,0,2015,137,Thriller,7.1,420506
2015-04-01,Woman in Gold,11000000.0,33307793.0,58586407.0,2015,Woman in Gold,0,2015,109,Biography,7.3,64172
2015-04-01,Woman in Gold,11000000.0,33307793.0,58586407.0,2015,Woman in Gold,0,2015,109,Drama,7.3,64172
2015-04-01,Woman in Gold,11000000.0,33307793.0,58586407.0,2015,Woman in Gold,0,2015,109,History,7.3,64172
2016-04-01,God’s Not Dead 2,5000000.0,20773069.0,23551286.0,2016,God's Not Dead 2,0,2016,120,Drama,4.3,13744
2016-04-01,Hunt for the Wilderpeople,2500000.0,5205471.0,23900842.0,2016,Hunt for the Wilderpeople,0,2016,101,Adventure,7.8,145278
2016-04-01,Hunt for the Wilderpeople,2500000.0,5205471.0,23900842.0,2016,Hunt for the Wilderpeople,0,2016,101,Comedy,7.8,145278
2016-04-01,Hunt for the Wilderpeople,2500000.0,5205471.0,23900842.0,2016,Hunt for the Wilderpeople,0,2016,101,Drama,7.8,145278
2016-04-01,Meet the Blacks,900000.0,9097072.0,9097072.0,2016,Meet the Blacks,0,2016,94,Comedy,4.8,38074
2016-04-01,Meet the Blacks,900000.0,9097072.0,9097072.0,2016,Meet the Blacks,0,2016,94,Horror,4.8,38074
2022-04-01,The Unbearable Weight of Massive Talent,30000000.0,20300157.0,29116320.0,2022,The Unbearable Weight of Massive Talent,0,2022,107,Action,7.0,161300
