date,primaryTitle_x,budget,domestic_gross,world_gross,year,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,primaryName,birthYear
2014-04-11,The Quiet Ones,"$200,000","$8,509,867","$18,413,804",2014,The Quiet Ones,0,2014,98,"Horror,Mystery,Thriller",5.1,21405,John Pogue,\N
2024-04-11,Civil War,"$50,000,000","$68,757,539","$106,547,052",2024,Civil War,0,2024,109,"Action,Adventure,Thriller",7.0,183801,Alex Garland,1970
1979-04-12,Mad Max,"$200,000","$8,750,000","$99,750,000",1979,Mad Max,0,1979,88,"Action,Adventure,Sci-Fi",6.8,234333,George Miller,1945
1985-04-12,Ladyhawke,"$20,000,000","$18,400,000","$18,400,000",1985,Ladyhawke,0,1985,121,"Adventure,Comedy,Drama",6.9,52042,Richard Donner,1930
2002-04-12,Changing Lanes,"$45,000,000","$66,790,248","$66,790,248",2002,Changing Lanes,0,2002,98,"Drama,Thriller",6.5,75388,Roger Michell,1956
2002-04-12,Frailty,"$11,000,000","$13,110,448","$19,947,280",2002,Frailty,0,2001,100,"Crime,Drama,Thriller",7.2,93560,Bill Paxton,1955
2002-04-12,Bend it Like Beckham,"$5,600,000","$32,543,449","$74,566,042",2002,Bend It Like Beckham,0,2002,112,"Comedy,Drama,Romance",6.7,117870,Gurinder Chadha,1960
2006-04-12,Sisters in Law,"$300,000","$33,312","$33,312",2006,Sisters in Law,0,2005,104,Documentary,7.3,420,Florence Ayisi,\N
2006-04-12,Sisters in Law,"$300,000","$33,312","$33,312",2006,Sisters in Law,0,2005,104,Documentary,7.3,420,Kim Longinotto,1952
2007-04-12,Sunshine,"$40,000,000","$3,688,560","$32,030,610",2007,Sunshine,0,2007,107,"Sci-Fi,Thriller",7.2,271835,Danny Boyle,1956
2012-04-12,The Raven,"$26,000,000","$16,008,272","$30,601,801",2012,The Raven,0,2012,110,"Crime,Mystery,Thriller",6.4,88860,James McTeigue,\N
2013-04-12,42,"$31,000,000","$95,020,213","$97,470,701",2013,42,0,2013,128,"Biography,Drama,Sport",7.5,104294,Brian Helgeland,\N
2013-04-12,Open Road,"$3,000,000",$0,"$47,469",2013,Open Road,0,2013,85,"Drama,Thriller",5.3,1851,Marcio Garcia,1970
2018-04-12,The Happy Prince,"$13,000,000","$464,495","$2,394,619",2018,The Happy Prince,0,2018,105,"Biography,Drama",6.3,5974,Rupert Everett,1959
2018-04-12,Truth or Dare,"$3,500,000","$41,411,015","$95,292,744",2018,Truth or Dare,0,2018,100,"Horror,Mystery,Thriller",5.2,67101,Jeff Wadlow,\N
2018-04-12,Truth or Dare,"$3,500,000","$41,411,015","$95,292,744",2018,Truth or Dare,0,2018,92,"Comedy,Drama,Romance",5.0,7,Junshu Huang,\N
2018-04-12,Truth or Dare,"$3,500,000","$41,411,015","$95,292,744",2018,Truth or Dare,0,2018,92,"Comedy,Drama,Romance",5.0,7,Yun Xie,\N
2019-04-12,Teen Spirit,"$16,000,000","$441,366","$1,573,603",2019,Teen Spirit,0,2012,84,Drama,8.2,25,Kote Kalandadze,\N
2019-04-12,Breakthrough,"$14,000,000","$40,713,082","$49,231,674",2019,Preboj,0,2019,90,"Drama,War",4.9,280,Dejan Babosek,\N
