budget,domestic_revenue,world_revenue,year,runtimeMinutes,averageRating,numVotes
30000.0,77070.0,82698.0,2005,89.0,6.4,3015
170000000.0,312433331.0,621156389.0,2010,124.0,6.9,884576
150000000.0,181030624.0,449326618.0,2011,115.0,7.0,915302
30000000.0,10143779.0,23353111.0,2011,86.0,4.7,14181
20000000.0,1186538.0,6093725.0,2011,107.0,5.1,15767
8000000.0,10130219.0,10763183.0,2011,104.0,5.4,15815
6000000.0,802778.0,18727440.0,2011,106.0,7.2,7
29000000.0,27383770.0,56000339.0,2016,111.0,6.8,60339
15000000.0,20591853.0,20688141.0,2016,100.0,6.2,53002
8000000.0,34873513.0,34873513.0,1996,108.0,5.6,5565
80000000.0,69117629.0,136047317.0,1998,130.0,5.2,75495
60000000.0,32983332.0,32983332.0,1998,111.0,6.1,78766
15000000.0,11156471.0,11156471.0,1998,76.0,3.2,3699
10000000.0,10162034.0,13835130.0,1998,110.0,7.2,26322
9800000.0,16044025.0,17553055.0,2009,107.0,6.8,170901
17000000.0,54239856.0,99010045.0,2013,91.0,6.5,202311
85000000.0,140371656.0,363563907.0,2019,132.0,7.0,392463
1250000.0,21722776.0,21722776.0,1981,87.0,6.1,80643
66000000.0,87707396.0,211700000.0,1999,113.0,6.3,125483
15000000.0,4023741.0,4024147.0,1999,92.0,6.2,47795
2000000.0,1152411.0,1152411.0,1999,108.0,7.5,14797
125000000.0,214949694.0,406348630.0,2003,106.0,7.2,7
32000000.0,17848322.0,29939591.0,2004,90.0,5.9,24830
30000000.0,14334645.0,16873925.0,2004,106.0,7.2,7
20000000.0,13548322.0,14566246.0,2004,99.0,4.8,32584
18000000.0,86047227.0,130462048.0,2004,97.0,7.1,448485
17000000.0,2694071.0,2694071.0,2004,120.0,6.6,4156
186000000.0,318604126.0,584877827.0,2008,126.0,7.9,1147456
35000000.0,63075011.0,117729618.0,2010,95.0,5.2,109414
35000000.0,17630465.0,39340177.0,2010,92.0,3.9,18508
10100000.0,1183658.0,18726300.0,2010,144.0,5.6,16331
9900000.0,458054.0,458054.0,2010,89.0,6.4,4066
7300000.0,1818681.0,12023606.0,2010,103.0,7.2,92203
3800000.0,20930.0,749686.0,2010,99.0,6.8,5229
3000000.0,4033574.0,4566662.0,2010,87.0,6.6,11699
90000000.0,61363304.0,169400000.0,1997,116.0,6.2,73015
250000.0,12006514.0,15155095.0,1997,113.0,7.2,145162
36000000.0,26500000.0,43797731.0,2003,109.0,6.0,49845
25000000.0,35990505.0,37216643.0,2003,105.0,5.8,67387
11000000.0,46566212.0,97837138.0,2003,81.0,7.1,290157
3000000.0,2255000.0,2255000.0,2003,89.0,6.5,906
58000000.0,31373938.0,41348628.0,2008,114.0,6.0,33738
37000000.0,48006762.0,101857425.0,2008,106.0,7.2,7
25000000.0,17432844.0,22910563.0,2008,90.0,5.9,86504
10000000.0,866778.0,22198996.0,2008,95.0,6.6,57011
1000000.0,5505267.0,16173879.0,2008,122.0,7.1,12377
50000000.0,56758835.0,236799211.0,2012,106.0,7.2,7
20000000.0,3763583.0,25361206.0,2012,93.0,4.9,40136
900000.0,6997.0,413733.0,2013,101.0,6.3,17286
318000.0,121179.0,175481.0,2014,106.0,7.2,7
17000000.0,188024361.0,334876670.0,2018,90.0,7.5,610677
100000000.0,574934330.0,1363324933.0,2023,106.0,7.2,7
13000000.0,2104439.0,2104439.0,1996,91.0,5.7,2313
10000000.0,5241315.0,5241315.0,2000,99.0,6.7,903
45000000.0,7262288.0,8488871.0,2002,85.0,6.4,21881
42000000.0,41543207.0,63781100.0,2002,115.0,6.4,49067
6000000.0,21305259.0,39241323.0,2002,106.0,7.2,7
